Product Category,Product Name,Product Price,Sold Units,Order Date,Region,City,State,Country,Discount,Customer Rating,Ship Date,Revenue,Sales,Profit
Apparel,T-Shirt,39.7,20,24/03/2023,Australia,Carrollbury,Utah,Venezuela,10.4,1,27/03/2023,794,711.42,235.02
Books,Children's Book,116.79,2,18/10/2024,Europe,Lake Rachel,Mississippi,Nigeria,40.74,3,19/10/2024,233.58,138.42,-1.73
Beauty,Nail Polish,195.29,8,29/07/2023,Europe,New Karenshire,Utah,Belize,38.82,2,31/07/2023,1562.32,955.83,18.44
Apparel,Shoes,346.18,4,21/03/2023,Asia,West Heidi,New York,Switzerland,0.32,1,21/03/2023,1384.72,1380.29,549.46
Beauty,Nail Polish,391.02,2,23/07/2024,South America,Lake Carlos,Indiana,Samoa,39.43,4,23/07/2024,782.04,473.68,4.46
Beauty,Nail Polish,65,6,14/10/2024,North America,South Bobby,West Virginia,Grenada,17.05,4,15/10/2024,390,323.5,89.5
Home & Kitchen,Vacuum Cleaner,269.98,17,08/12/2023,North America,Lake Nicholas,Delaware,Kuwait,7.88,1,09/12/2023,4589.66,4227.99,1474.2
Electronics,Tablet,495.84,15,01/09/2023,Australia,Lake Marvin,Massachusetts,Trinidad and Tobago,41.29,1,02/09/2023,7437.6,4366.61,-95.95
Books,Cookbook,170.05,19,29/04/2024,Europe,East Jessicaberg,South Dakota,Sudan,8.94,4,29/04/2024,3230.95,2942.1,1003.53
Electronics,Smartwatch,154.9,11,20/11/2023,South America,Kathleenberg,Colorado,Wallis and Futuna,37.7,3,21/11/2023,1703.9,1061.53,39.19
Books,Cookbook,32.32,2,19/07/2024,Australia,Omarberg,Idaho,Romania,21.5,1,21/07/2024,64.64,50.74,11.96
Electronics,Smartwatch,498.52,18,06/02/2024,North America,Port Heather,California,Tuvalu,28.01,3,07/02/2024,8973.36,6459.92,1075.91
Books,Cookbook,325.3,8,26/09/2023,Europe,Lake Elizabeth,Tennessee,Greece,32.37,2,26/09/2023,2602.4,1760,198.56
Electronics,Headphones,185.85,2,08/09/2023,North America,West Helenville,Arizona,Greenland,12.75,2,08/09/2023,371.7,324.31,101.29
Home & Kitchen,Blender,427.4,9,10/06/2023,Australia,East Bryan,Arkansas,Libyan Arab Jamahiriya,3.48,4,12/06/2023,3846.6,3712.74,1404.78
Beauty,Perfume,173.33,9,05/10/2024,Europe,East Brandyview,Maryland,Chile,18.55,5,06/10/2024,1559.97,1270.6,334.61
Books,Children's Book,421.38,1,25/07/2023,Europe,Lake Matthewborough,North Dakota,Puerto Rico,36.93,5,28/07/2023,421.38,265.76,12.94
Beauty,Lipstick,381.42,12,17/04/2024,North America,New Manuel,California,Namibia,3.06,3,21/04/2024,4577.04,4436.98,1690.76
Books,Cookbook,148.53,18,05/08/2024,North America,East Melanieville,Iowa,Cook Islands,16,4,05/08/2024,2673.54,2245.77,641.65
Books,Fiction Novel,105.54,2,17/06/2024,Europe,Boyleland,New Hampshire,British Virgin Islands,43.74,5,17/06/2024,211.08,118.75,-7.89
Home & Kitchen,Microwave,279.47,20,03/10/2024,South America,West Andrew,North Dakota,Pakistan,18.53,4,08/10/2024,5589.4,4553.68,1200.04
Electronics,Laptop,483.92,8,29/08/2023,Australia,Lake Michaelburgh,Michigan,Iceland,14.99,4,29/08/2023,3871.36,3291.04,968.23
Books,Children's Book,332.06,12,27/03/2023,South America,North Monicaport,Illinois,Pitcairn Islands,5.32,2,27/03/2023,3984.72,3772.73,1381.9
Electronics,Tablet,152.94,4,18/09/2023,North America,North James,Alaska,Puerto Rico,11.93,3,22/09/2023,611.76,538.78,171.72
Home & Kitchen,Blender,198.1,3,15/04/2023,South America,East James,Maryland,Tunisia,40.19,4,16/04/2023,594.3,355.45,-1.13
Apparel,Shoes,57.85,17,18/12/2024,Australia,New Stephanieville,Iowa,Thailand,23.36,1,18/12/2024,983.45,753.72,163.65
Beauty,Nail Polish,345.98,15,21/12/2023,North America,North Elizabeth,Virginia,Puerto Rico,9.52,1,23/12/2023,5189.7,4695.64,1581.82
Books,Self-Help Guide,245.82,4,23/04/2023,Australia,South Amber,Indiana,Western Sahara,45.76,3,23/04/2023,983.28,533.33,-56.64
Home & Kitchen,Coffee Maker,443.18,17,03/10/2023,Australia,Port Ashleyville,Georgia,Bulgaria,26.76,1,05/10/2023,7534.06,5517.95,997.51
Electronics,Smartwatch,221.8,3,31/08/2023,Europe,Hallstad,Nevada,Aruba,28.22,1,03/09/2023,665.4,477.62,78.38
Books,Self-Help Guide,98.78,8,05/03/2023,Europe,Port Sharon,Vermont,French Guiana,23.6,1,06/03/2023,790.24,603.74,129.6
Electronics,Smartphone,22.67,7,12/03/2023,North America,Douglasland,South Dakota,Wallis and Futuna,44.3,5,15/03/2023,158.69,88.39,-6.82
Apparel,Jacket,17.56,11,22/11/2023,North America,Collinsview,Wyoming,Guinea-Bissau,42.12,1,22/11/2023,193.16,111.8,-4.09
Books,Children's Book,498.21,19,15/07/2023,Asia,North Theresamouth,Hawaii,Saint Martin,31.95,1,16/07/2023,9465.99,6441.61,762.01
Beauty,Lipstick,123.05,12,06/10/2023,Asia,Lake Lindsayberg,Georgia,Wallis and Futuna,38.28,4,08/10/2023,1476.6,911.36,25.4
Books,Self-Help Guide,197.44,14,16/04/2023,Asia,Jonesbury,Nebraska,Haiti,11.19,1,16/04/2023,2764.16,2454.85,796.35
Beauty,Face Cream,397.41,3,06/04/2024,Australia,Smithmouth,North Dakota,Ethiopia,43.25,1,06/04/2024,1192.23,676.59,-38.75
Electronics,Headphones,323.49,14,28/10/2024,North America,South Alicia,Hawaii,Bosnia and Herzegovina,42.23,4,31/10/2024,4528.86,2616.32,-100.99
Books,Biography,252.34,10,09/09/2023,Australia,Port Nathanbury,Tennessee,Falkland Islands (Malvinas),47.51,5,11/09/2023,2523.4,1324.53,-189.51
Home & Kitchen,Blender,482.65,5,26/02/2024,North America,Hughesburgh,South Dakota,Liechtenstein,39.67,3,27/02/2024,2413.25,1455.91,7.96
Home & Kitchen,Coffee Maker,406.83,1,12/06/2023,South America,South Leslie,Minnesota,Turks and Caicos Islands,23.46,1,13/06/2023,406.83,311.39,67.29
Apparel,Jacket,483.45,11,13/11/2023,Europe,Port Alexanderview,Iowa,Bolivia,45.99,2,13/11/2023,5317.95,2872.22,-318.55
Home & Kitchen,Cookware Set,13.13,20,13/06/2023,South America,Austinport,Wyoming,Uganda,47.51,1,13/06/2023,262.6,137.84,-19.72
Apparel,Jacket,172.95,12,03/01/2023,North America,Paulmouth,Alaska,Comoros,5.8,3,04/01/2023,2075.4,1955.03,709.79
Electronics,Tablet,172.17,11,13/09/2023,Australia,South Robertton,Alaska,Angola,43.94,1,14/09/2023,1893.87,1061.7,-74.62
Beauty,Lipstick,361.9,14,29/01/2024,North America,West Kevin,South Dakota,Guinea-Bissau,25.06,2,02/02/2024,5066.6,3796.91,756.95
Electronics,Tablet,205.73,12,02/11/2024,Australia,New Lauramouth,Oklahoma,Peru,7.01,3,07/11/2024,2468.76,2295.7,814.44
Beauty,Face Cream,109.78,16,25/04/2024,Asia,South Kristenfurt,Wisconsin,Martinique,6.41,3,28/04/2024,1756.48,1643.89,590
Beauty,Lipstick,328.66,10,12/02/2023,Asia,North Christopher,South Dakota,Guatemala,36.62,5,12/02/2023,3286.6,2083.05,111.09
Apparel,Jeans,263.94,20,11/05/2023,Europe,Heatherfurt,Pennsylvania,Chile,32.62,4,11/05/2023,5278.8,3556.86,389.58
Home & Kitchen,Cookware Set,470.34,1,26/03/2023,Australia,Tamistad,North Carolina,Thailand,46.08,2,28/03/2023,470.34,253.61,-28.6
Home & Kitchen,Blender,435.75,6,31/01/2024,North America,New Michael,North Carolina,Norway,9.92,2,02/02/2024,2614.5,2355.14,786.44
Apparel,Shoes,270.6,12,16/01/2024,Europe,South Sean,Missouri,Nepal,39.01,5,17/01/2024,3247.2,1980.47,32.15
Apparel,Shoes,371.82,2,20/07/2023,Europe,West Mitchell,Arizona,Togo,3.07,2,23/07/2023,743.64,720.81,274.63
Electronics,Smartphone,120.33,10,01/10/2023,Asia,Kimberlyland,New York,Palau,22.13,1,04/10/2023,1203.3,937.01,215.03
Apparel,Sweater,40.66,5,14/07/2024,Asia,South Donnamouth,Arizona,Haiti,4.15,1,15/07/2024,203.3,194.86,72.88
Home & Kitchen,Coffee Maker,369.05,19,28/01/2023,Europe,New Brittanyview,Ohio,Norway,3.66,1,30/01/2023,7011.95,6755.31,2548.14
Apparel,Sweater,247,1,10/05/2023,Europe,Tinaburgh,New Jersey,Liberia,41.36,2,12/05/2023,247,144.84,-3.36
Apparel,Jacket,14.44,4,14/10/2024,Asia,Nicoletown,Maryland,Croatia,35.82,5,14/10/2024,57.76,37.07,2.41
Beauty,Face Cream,454.05,20,06/03/2023,Europe,South John,Hawaii,Chad,13.93,4,11/03/2023,9081,7816.02,2367.42
Apparel,Jeans,311.09,7,12/12/2023,North America,Lake Tracy,Oregon,Singapore,9.67,3,12/12/2023,2177.63,1967.05,660.48
Electronics,Smartphone,125.13,11,03/10/2023,Australia,South Rebecca,Georgia,Bulgaria,33.76,5,03/10/2023,1376.43,911.75,85.89
Apparel,Jacket,326.15,17,09/04/2023,North America,New Melanie,Oregon,Philippines,24.44,5,10/04/2023,5544.55,4189.46,862.73
Books,Cookbook,12.11,17,05/05/2023,Europe,Hopkinston,Louisiana,United States of America,44.42,4,06/05/2023,205.87,114.42,-9.1
Books,Biography,318.17,19,13/11/2023,Asia,South Stephanieshire,Hawaii,Saint Barthelemy,48.22,3,17/11/2023,6045.23,3130.22,-496.92
Beauty,Nail Polish,452.81,12,16/04/2024,Europe,North Matthewhaven,Colorado,Burkina Faso,17.44,4,16/04/2024,5433.72,4486.08,1225.85
Beauty,Shampoo,411.27,7,20/03/2023,Europe,South Joshua,West Virginia,Portugal,32.93,3,20/03/2023,2878.89,1930.87,203.54
Books,Children's Book,53.16,13,06/02/2024,South America,South Mikehaven,Alaska,Iceland,42.44,2,06/02/2024,691.08,397.79,-16.86
Beauty,Perfume,307.56,19,02/10/2023,Asia,Mullenshire,Missouri,Benin,34.59,5,03/10/2023,5843.64,3822.32,316.14
Beauty,Nail Polish,418.5,2,01/03/2023,North America,Tammyborough,Virginia,Panama,22.35,4,01/03/2023,837,649.93,147.73
Home & Kitchen,Blender,36.66,5,01/06/2024,Europe,Matthewstad,Montana,Swaziland,23.48,3,01/06/2024,183.3,140.26,30.28
Home & Kitchen,Coffee Maker,409.65,13,04/07/2024,North America,Port Charleneview,California,Bolivia,37.87,5,04/07/2024,5325.45,3308.7,113.43
Apparel,Jacket,61.52,3,27/07/2024,South America,Lake Aaronfort,South Dakota,Romania,41.71,4,28/07/2024,184.56,107.58,-3.16
Books,Self-Help Guide,299.51,3,07/01/2023,Asia,Katherineport,Arkansas,Somalia,39.19,3,07/01/2023,898.53,546.4,7.28
Electronics,Smartwatch,309.74,8,28/07/2023,Asia,North William,Wyoming,Georgia,45.16,3,29/07/2023,2477.92,1358.89,-127.86
Books,Self-Help Guide,36.24,19,25/08/2024,Australia,Bridgetmouth,Alaska,Greenland,46.73,2,27/08/2024,688.56,366.8,-46.34
Books,Fiction Novel,105.31,17,07/07/2024,Australia,Cabrerahaven,Texas,Montenegro,33.89,3,07/07/2024,1790.27,1183.55,109.39
Home & Kitchen,Cookware Set,171.98,19,24/03/2023,Europe,Zacharyfurt,New Hampshire,Costa Rica,29.13,2,26/03/2023,3267.62,2315.76,355.19
Home & Kitchen,Cookware Set,418.77,18,22/05/2024,Australia,Jasonmouth,Minnesota,Bahrain,23.74,4,23/05/2024,7537.86,5748.37,1225.66
Beauty,Shampoo,370.27,14,22/03/2024,South America,New Jimmy,Arkansas,Cape Verde,18.81,5,26/03/2024,5183.78,4208.71,1098.44
Electronics,Tablet,203.99,18,07/03/2024,North America,Smithmouth,Iowa,Eritrea,35.49,3,08/03/2024,3671.82,2368.69,165.6
Home & Kitchen,Microwave,64.8,4,21/03/2024,Europe,Popeport,Vermont,Andorra,21.73,2,24/03/2024,259.2,202.88,47.36
Beauty,Perfume,343.62,17,30/06/2023,Europe,Vegaville,Kentucky,Ghana,38.59,1,30/06/2023,5841.54,3587.29,82.37
Electronics,Tablet,275.21,2,09/08/2023,Australia,Port Shannon,Iowa,Albania,20.13,3,09/08/2023,550.42,439.62,109.37
Home & Kitchen,Microwave,164.19,20,21/12/2023,Asia,North Frankport,Louisiana,Bermuda,22.76,1,21/12/2023,3283.8,2536.41,566.13
Books,Cookbook,482.52,16,04/02/2024,Asia,Amandafurt,Florida,Guernsey,14.8,4,07/02/2024,7720.32,6577.71,1945.52
Books,Fiction Novel,110.55,17,30/10/2024,North America,Brandonland,Wisconsin,Timor-Leste,30.36,3,03/11/2024,1879.35,1308.78,181.17
Electronics,Tablet,27.57,17,31/05/2024,Europe,Camachomouth,Wyoming,Egypt,36.17,1,01/06/2024,468.69,299.16,17.95
Electronics,Headphones,90.86,15,18/02/2024,Europe,South Amanda,Pennsylvania,Ireland,18.88,3,18/02/2024,1362.9,1105.58,287.84
Home & Kitchen,Cookware Set,36.29,11,24/08/2023,Australia,Andersonland,Kentucky,Mexico,42.73,2,24/08/2023,399.19,228.62,-10.9
Home & Kitchen,Blender,140.58,9,01/10/2023,Australia,Lake Nicholasmouth,North Carolina,Netherlands,9.74,4,03/10/2023,1265.22,1141.99,382.86
Electronics,Smartwatch,379.99,7,21/04/2023,North America,New Edwardview,Nevada,Israel,38.95,3,21/04/2023,2659.93,1623.89,27.93
Electronics,Laptop,88.19,19,29/01/2023,Australia,South Howard,Arkansas,Colombia,0.8,1,29/01/2023,1675.61,1662.21,656.84
Beauty,Nail Polish,188.11,10,24/08/2023,South America,North Garrett,Iowa,Cote d'Ivoire,30.75,3,24/08/2023,1881.1,1302.66,174
Beauty,Shampoo,86.68,8,02/08/2023,Asia,Kleinshire,Wisconsin,Faroe Islands,18.33,1,02/08/2023,693.44,566.33,150.27
Beauty,Lipstick,125.6,11,12/01/2024,South America,Lake Jose,North Carolina,Guadeloupe,8.07,2,14/01/2024,1381.6,1270.1,441.14
Books,Cookbook,293.08,8,12/05/2024,North America,Miguelport,Ohio,Switzerland,41.21,2,14/05/2024,2344.64,1378.41,-28.37
Books,Fiction Novel,71.02,12,24/03/2023,Europe,New Michaelfurt,North Carolina,Togo,14.08,4,24/03/2023,852.24,732.24,220.9
Beauty,Perfume,396.57,8,08/06/2023,Asia,Lake Christopher,Washington,Bermuda,6.92,5,08/06/2023,3172.56,2953.02,1049.48
Beauty,Face Cream,317.94,15,22/07/2023,Asia,New Brandimouth,Kansas,Tuvalu,33.72,2,22/07/2023,4769.1,3160.96,299.5
Electronics,Smartwatch,191.18,11,29/10/2023,Asia,Conniemouth,New York,Madagascar,34.11,4,30/10/2023,2102.98,1385.65,123.87
Books,Fiction Novel,83.09,4,23/09/2023,South America,West Michelletown,Florida,Lithuania,18.23,4,26/09/2023,332.36,271.77,72.35
Beauty,Shampoo,440.42,8,02/06/2023,South America,West Pamelaville,Texas,Austria,39.02,4,07/06/2023,3523.36,2148.54,34.53
Apparel,Jeans,44.96,15,07/11/2023,Asia,Chentown,Hawaii,Chad,31.21,5,09/11/2023,674.4,463.92,59.28
Home & Kitchen,Vacuum Cleaner,8.58,14,20/01/2023,North America,Codyfurt,Massachusetts,Finland,47.86,5,20/01/2023,120.12,62.63,-9.44
Beauty,Nail Polish,463.44,12,27/04/2023,Australia,Mcneilfurt,Indiana,Central African Republic,9.11,4,30/04/2023,5561.28,5054.65,1717.88
Books,Biography,354.84,3,24/03/2023,North America,South Alison,Nebraska,Kyrgyz Republic,41.89,4,28/03/2023,1064.52,618.59,-20.12
Beauty,Perfume,298.9,12,22/05/2024,Europe,North David,Texas,Dominican Republic,28.97,5,25/05/2024,3586.8,2547.7,395.62
Apparel,T-Shirt,145.45,18,20/03/2023,North America,New Yolandafurt,New Hampshire,Rwanda,38.01,1,25/03/2023,2618.1,1622.96,52.1
Electronics,Headphones,348.28,17,02/07/2024,North America,South Sarah,Alaska,Solomon Islands,12.19,4,06/07/2024,5920.76,5199.02,1646.56
Books,Biography,397.16,3,09/09/2024,South America,Christieland,California,Greenland,31.19,1,12/09/2024,1191.48,819.86,104.97
Electronics,Headphones,240.63,12,25/01/2024,North America,North Rebeccaport,Delaware,Portugal,0.66,5,27/01/2024,2887.56,2868.5,1135.97
Home & Kitchen,Cookware Set,67.81,16,19/11/2023,Asia,Robertchester,Colorado,Portugal,1.06,3,21/11/2023,1084.96,1073.46,422.48
Electronics,Laptop,75.83,20,29/10/2023,South America,Hodgefurt,Virginia,Faroe Islands,34.66,3,31/10/2023,1516.6,990.95,80.99
Beauty,Shampoo,139.12,8,04/07/2023,South America,Henryberg,Montana,Netherlands Antilles,23.91,4,04/07/2023,1112.96,846.85,179.08
Apparel,Jacket,227.96,15,16/03/2024,North America,Riverashire,Illinois,Peru,12.16,1,17/03/2024,3419.4,3003.6,951.96
Electronics,Headphones,123.43,14,01/04/2024,Europe,Zacharyshire,Maine,Puerto Rico,2.5,4,01/04/2024,1728.02,1684.82,648.01
Apparel,T-Shirt,91.4,8,10/01/2023,Australia,Port Erik,New Jersey,Costa Rica,5.7,3,10/01/2023,731.2,689.52,250.8
Books,Cookbook,347.38,19,07/11/2023,South America,Dustinside,Ohio,Micronesia,24.64,5,07/11/2023,6600.22,4973.93,1013.79
Books,Children's Book,300.15,5,19/09/2023,Australia,West Jonathan,North Dakota,Bouvet Island (Bouvetoya),32.03,1,21/09/2023,1500.75,1020.06,119.61
Beauty,Nail Polish,360.01,18,22/05/2023,Asia,Brandonland,Ohio,Cuba,5.71,3,22/05/2023,6480.18,6110.16,2222.05
Beauty,Lipstick,307.96,8,31/10/2023,South America,New Adamchester,Michigan,Netherlands Antilles,45.39,5,31/10/2023,2463.68,1345.42,-132.79
Beauty,Lipstick,48.57,14,08/03/2024,South America,Keithfurt,Indiana,Palau,16.44,3,11/03/2024,679.98,568.19,160.2
Apparel,Sweater,414.11,19,06/08/2023,Australia,Hartton,Mississippi,Germany,37.26,5,06/08/2023,7868.09,4936.44,215.59
Home & Kitchen,Coffee Maker,154.09,5,02/07/2024,Asia,Lisastad,Colorado,Dominica,4.81,4,05/07/2024,770.45,733.39,271.12
Home & Kitchen,Coffee Maker,212.3,20,13/11/2023,Australia,East Davidport,New Mexico,Iceland,3.46,5,15/11/2023,4246,4099.09,1551.49
Home & Kitchen,Coffee Maker,281.07,9,20/03/2024,South America,West Bryan,Rhode Island,Chile,35.44,5,24/03/2024,2529.63,1633.13,115.35
Books,Children's Book,99.99,10,13/10/2024,Australia,Gallowayberg,Vermont,Yemen,45.48,1,13/10/2024,999.9,545.15,-54.79
Books,Self-Help Guide,493.37,11,21/04/2023,South America,South Jamesburgh,Ohio,Gabon,20.95,3,21/04/2023,5427.07,4290.1,1033.86
Home & Kitchen,Microwave,488.51,11,02/09/2024,Australia,South Lindaport,Maine,Palestinian Territory,1.54,3,02/09/2024,5373.61,5290.86,2066.69
Beauty,Face Cream,311.37,4,04/11/2024,Europe,Jenniferside,Arizona,Faroe Islands,1.63,5,04/11/2024,1245.48,1225.18,477.89
Electronics,Smartphone,432.05,3,07/04/2023,Europe,Port Jasmineberg,Hawaii,Somalia,20.07,5,07/04/2023,1296.15,1036.01,258.32
Home & Kitchen,Blender,493.46,14,29/04/2023,Australia,Jessicastad,Pennsylvania,Uganda,28.03,1,29/04/2023,6908.44,4972,826.94
Electronics,Smartwatch,256.23,14,26/05/2023,Australia,Lake Debbiemouth,Missouri,Congo,35.89,5,26/05/2023,3587.22,2299.77,147.43
Home & Kitchen,Microwave,234.79,17,23/11/2023,North America,South Theresa,Florida,Lesotho,33.47,1,23/11/2023,3991.43,2655.5,260.64
Electronics,Smartphone,315.1,5,25/11/2023,North America,Richardtown,Mississippi,United States of America,42.23,2,28/11/2023,1575.5,910.17,-35.13
Beauty,Shampoo,108.01,19,15/10/2023,South America,East Timothyborough,New York,Indonesia,45.49,3,15/10/2023,2052.19,1118.65,-112.67
Books,Fiction Novel,31.27,16,15/05/2023,South America,Port Seth,Montana,Papua New Guinea,29.89,5,18/05/2023,500.32,350.77,50.58
Home & Kitchen,Coffee Maker,60.78,7,19/02/2024,Asia,Morrisonfurt,Indiana,Oman,43.18,4,22/02/2024,425.46,241.75,-13.53
Home & Kitchen,Cookware Set,78.86,6,02/12/2023,Asia,North Johnberg,Connecticut,Turks and Caicos Islands,45.93,2,02/12/2023,473.16,255.84,-28.06
Beauty,Lipstick,422.67,15,25/04/2023,Australia,Lisamouth,Florida,Libyan Arab Jamahiriya,10.17,3,26/04/2023,6340.05,5695.27,1891.24
Apparel,T-Shirt,456.18,1,04/10/2023,Asia,Wattschester,Texas,Mozambique,15.93,1,04/10/2023,456.18,383.51,109.8
Home & Kitchen,Blender,251.27,6,09/08/2023,North America,Garciamouth,Illinois,Maldives,25.38,3,09/08/2023,1507.62,1124.99,220.41
Electronics,Laptop,84.08,4,08/03/2024,South America,Devonshire,North Dakota,United States Minor Outlying Islands,35.69,4,09/03/2024,336.32,216.29,14.5
Beauty,Shampoo,461.72,14,13/06/2023,Europe,Rodriguezton,Oklahoma,Guatemala,17.91,3,13/06/2023,6464.08,5306.36,1427.92
Apparel,Sweater,31.74,9,14/10/2024,Australia,Grantborough,New York,Madagascar,44.72,3,15/10/2024,285.66,157.91,-13.48
Home & Kitchen,Blender,185.28,18,22/04/2024,South America,Jenningsmouth,Texas,Botswana,30.01,3,22/04/2024,3335.04,2334.19,333.17
Home & Kitchen,Vacuum Cleaner,108.75,16,04/07/2023,North America,West Sean,Colorado,Nigeria,5.39,1,09/07/2023,1740,1646.21,602.21
Books,Biography,129.43,4,14/08/2023,South America,Heidibury,Kentucky,Montenegro,28.52,5,15/08/2023,517.72,370.07,59.43
Apparel,Sweater,310.33,5,17/12/2023,North America,Stephensberg,New York,Myanmar,23.6,5,21/12/2023,1551.65,1185.46,254.47
Beauty,Nail Polish,445.59,2,04/03/2024,South America,Ashleyfurt,Nebraska,Mongolia,4.56,5,06/03/2024,891.18,850.54,315.83
Electronics,Smartphone,229.31,14,20/12/2024,North America,Kevinland,Nevada,Iceland,12.61,5,20/12/2024,3210.34,2805.52,879.31
Home & Kitchen,Cookware Set,56.69,1,15/04/2024,Australia,Myerschester,Florida,Mali,12.12,4,18/04/2024,56.69,49.82,15.81
Beauty,Face Cream,30.97,6,23/01/2023,Asia,Sheenafort,Nebraska,Sri Lanka,44.81,2,26/01/2023,185.82,102.55,-8.94
Books,Fiction Novel,270.99,3,12/09/2024,South America,Zavalatown,California,Martinique,25.27,2,13/09/2024,812.97,607.53,119.75
Home & Kitchen,Cookware Set,83.23,5,25/06/2024,South America,New Robert,Texas,Latvia,20.66,3,28/06/2024,416.15,330.17,80.48
Apparel,Shoes,19.39,17,30/11/2024,Europe,North Jamesshire,North Dakota,Nicaragua,31.68,3,02/12/2024,329.63,225.2,27.43
Beauty,Lipstick,259.88,17,28/11/2023,North America,New Eric,Oklahoma,Fiji,42.65,2,28/11/2023,4417.96,2533.7,-117.08
Electronics,Smartwatch,40.08,13,17/04/2023,Australia,Allenmouth,Delaware,Poland,33.94,3,19/04/2023,521.04,344.2,31.58
Books,Cookbook,121.47,14,23/11/2023,Asia,Lake Allisonbury,South Dakota,United States of America,12,2,24/11/2023,1700.58,1496.51,476.16
Beauty,Face Cream,225.19,12,25/12/2024,North America,South Michelletown,Oklahoma,Gambia,7.79,4,27/12/2024,2702.28,2491.77,870.4
Home & Kitchen,Coffee Maker,291.98,5,19/03/2024,North America,Kellyhaven,New York,Thailand,43.83,5,20/03/2024,1459.9,820.03,-55.91
Electronics,Smartwatch,212.44,13,03/06/2024,Australia,Lake Patrickchester,Iowa,Macedonia,4.58,1,03/06/2024,2761.72,2635.23,978.2
Home & Kitchen,Cookware Set,374.81,18,23/06/2023,South America,Deborahton,Iowa,Haiti,49.75,1,23/06/2023,6746.58,3390.16,-657.79
Home & Kitchen,Cookware Set,449.69,8,17/03/2023,South America,Robertamouth,Ohio,Holy See (Vatican City State),24.74,1,17/03/2023,3597.52,2707.49,548.98
Apparel,Jeans,118.88,10,01/12/2023,Europe,Travisshire,Georgia,Palau,6.94,1,02/12/2023,1188.8,1106.3,393.02
Apparel,Sweater,59.52,4,01/07/2024,Australia,Port Jordanview,North Carolina,Barbados,32.87,1,02/07/2024,238.08,159.82,16.98
Home & Kitchen,Microwave,117.75,11,21/10/2023,South America,Rachaelberg,Missouri,Marshall Islands,21.16,5,22/10/2023,1295.25,1021.18,244.03
Books,Biography,122.37,11,29/10/2024,Europe,West Jamesfort,Kansas,Yemen,7.31,3,29/10/2024,1346.07,1247.67,440.03
Apparel,Jacket,209.23,19,08/10/2024,Europe,Mezaville,Wyoming,Chile,25.92,1,08/10/2024,3975.37,2944.95,559.73
Apparel,Sweater,103.98,20,31/03/2024,Asia,Port Catherinechester,Arkansas,New Caledonia,15.52,5,01/04/2024,2079.6,1756.85,509.09
Apparel,T-Shirt,446.23,20,19/12/2023,Europe,Johnfurt,New Mexico,Yemen,26.94,3,24/12/2023,8924.6,6520.31,1165.55
Apparel,Jacket,41.4,4,27/01/2024,Asia,South Heathermouth,Michigan,Mali,13.19,4,28/01/2024,165.6,143.76,44.4
Electronics,Tablet,294.62,2,15/11/2024,South America,Sanchezhaven,Alaska,Togo,44.45,4,15/11/2024,589.24,327.32,-26.22
Home & Kitchen,Coffee Maker,31.9,3,23/08/2023,Asia,North Alexis,Louisiana,Jersey,45.08,5,28/08/2023,95.7,52.56,-4.86
Electronics,Smartwatch,220.75,12,04/07/2023,South America,Bethmouth,Georgia,Canada,49.43,5,04/07/2023,2649,1339.6,-249.8
Beauty,Lipstick,112,15,24/05/2023,Australia,Williamsonbury,Iowa,Saint Barthelemy,24.9,5,24/05/2023,1680,1261.68,253.68
Beauty,Face Cream,306.67,14,07/07/2023,Asia,Burgessland,West Virginia,Lao People's Democratic Republic,6.43,3,08/07/2023,4293.38,4017.32,1441.29
Beauty,Face Cream,93.14,15,14/08/2024,Australia,South Jamietown,New Hampshire,Singapore,0.13,5,14/08/2024,1397.1,1395.28,557.02
Electronics,Smartphone,189.88,14,24/04/2023,North America,Braunstad,Wyoming,United States Virgin Islands,40.54,2,25/04/2023,2658.32,1580.64,-14.35
Home & Kitchen,Blender,231.58,10,20/11/2024,South America,East William,New York,Macao,34.46,2,25/11/2024,2315.8,1517.78,128.3
Beauty,Nail Polish,101.11,16,25/10/2024,Europe,North Danielleshire,Nebraska,Malta,36.73,1,26/10/2024,1617.76,1023.56,52.9
Apparel,Sweater,182.5,5,20/04/2024,North America,Sotofurt,Alaska,South Africa,32.89,2,20/04/2024,912.5,612.38,64.88
Beauty,Lipstick,138.5,6,10/03/2023,Europe,West Roger,North Carolina,Maldives,1.04,3,12/03/2023,831,822.36,323.76
Books,Fiction Novel,171.27,19,11/03/2024,South America,North Philipfurt,Florida,Grenada,19.56,5,17/03/2024,3254.13,2617.62,665.14
Apparel,Jeans,20.89,17,18/09/2024,South America,Port John,Nevada,Mauritius,2.48,4,19/09/2024,355.13,346.32,133.24
Apparel,Jeans,286.49,3,03/01/2023,Australia,Patriciachester,South Dakota,New Zealand,15.21,1,04/01/2023,859.47,728.74,213.06
Apparel,Jeans,143.9,5,20/04/2024,Asia,Reyesland,Missouri,Western Sahara,37.31,5,21/04/2024,719.5,451.05,19.35
Beauty,Shampoo,60,1,26/04/2024,Asia,West Michaelbury,West Virginia,Cook Islands,39.5,2,26/04/2024,60,36.3,0.3
Apparel,Sweater,235.44,19,28/06/2023,Australia,New Cindyfort,Kentucky,American Samoa,15.98,1,28/06/2023,4473.36,3758.52,1074.5
